Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
9.542795,asdf,1,10,1,0,1.59,0
9.544834,asdf,1,10,1,0,1.59,0
9.546843,asdf,1,10,1,0,1.59,0
9.548876,asdf,1,10,1,0,1.59,0
9.550965,asdf,1,10,1,0,1.59,0
9.553052,asdf,1,10,1,0,1.59,0
9.555128,asdf,1,10,1,0,1.59,0
9.557167,asdf,1,10,1,0,1.59,0
9.55909,asdf,1,10,1,0,1.59,0
9.56109,asdf,1,10,1,0,1.59,0
9.563386,asdf,1,10,1,0,1.59,0
9.565408,asdf,1,10,1,0,1.59,0
9.567454,asdf,1,10,1,0,1.59,0
9.569471,asdf,1,10,1,0,1.59,0
9.571475,asdf,1,10,1,0,1.59,0
9.573497,asdf,1,10,1,0,1.59,0
9.575556,asdf,1,10,1,0,1.59,0
9.577623,asdf,1,10,1,0,1.59,0
9.579627,asdf,1,10,1,0,1.59,0
9.581555,asdf,1,10,1,0,1.59,0
9.583831,asdf,1,10,1,0,1.59,0
9.585902,asdf,1,10,1,0,1.59,0
9.587996,asdf,1,10,1,0,1.59,0
9.590015,asdf,1,10,1,0,1.59,0
9.592042,asdf,1,10,1,0,1.59,0
9.594136,asdf,1,10,1,0,1.59,0
9.596243,asdf,1,10,1,0,1.59,0
9.598501,asdf,1,10,1,0,1.59,0
9.600579,asdf,1,10,1,0,1.59,0
9.602886,asdf,1,10,1,0,1.59,0
9.604903,asdf,1,10,1,0,1.59,0
9.606931,asdf,1,10,1,0,1.59,0
9.608959,asdf,1,10,1,0,1.59,0
9.610989,asdf,1,10,1,0,1.59,0
9.613004,asdf,1,10,1,0,1.59,0
9.615018,asdf,1,10,1,0,1.59,0
9.623812,asdf,1,10,1,0,1.59,0
9.626594,asdf,1,10,1,0,1.59,0
9.628764,asdf,1,10,1,0,1.59,0
9.630903,asdf,1,10,1,0,1.59,0
9.632979,asdf,1,10,1,0,1.59,0
9.635094,asdf,1,10,1,0,1.59,0
9.637118,asdf,1,10,1,0,1.59,0
9.639159,asdf,1,10,1,0,1.59,0
9.64119,asdf,1,10,1,0,1.59,0
9.643585,asdf,1,10,1,0,1.59,0
9.645598,asdf,1,10,1,0,1.59,0
9.647617,asdf,1,10,1,0,1.59,0
9.649663,asdf,1,10,1,0,1.59,0
9.651706,asdf,1,10,1,0,1.59,0
9.653744,asdf,1,10,1,0,1.59,0
9.655779,asdf,1,10,1,0,1.59,0
9.657885,asdf,1,10,1,0,1.59,0
9.65989,asdf,1,10,1,0,1.59,0
9.661934,asdf,1,10,1,0,1.59,0
9.664373,asdf,1,10,1,0,1.59,0
9.666745,asdf,1,10,1,0,1.59,0
9.6689,asdf,1,10,1,0,1.59,0
9.670978,asdf,1,10,1,0,1.59,0
9.673051,asdf,1,10,1,0,1.59,0
9.675066,asdf,1,10,1,0,1.59,0
9.677092,asdf,1,10,1,0,1.59,0
9.67911,asdf,1,10,1,0,1.59,0
9.6814,asdf,1,10,1,0,1.59,0
9.683816,asdf,1,10,1,0,1.59,0
9.685881,asdf,1,10,1,0,1.59,0
9.687922,asdf,1,10,1,0,1.59,0
9.689842,asdf,1,10,1,0,1.59,0
9.691834,asdf,1,10,1,0,1.59,0
9.693897,asdf,1,10,1,0,1.59,0
9.695807,asdf,1,10,1,0,1.59,0
9.697824,asdf,1,10,1,0,1.59,0
9.699759,asdf,1,10,1,0,1.59,0
9.701715,asdf,1,10,1,0,1.59,0
9.704046,asdf,1,10,1,0,1.59,0
9.706046,asdf,1,10,1,0,1.59,0
9.708059,asdf,1,10,1,0,1.59,0
9.710054,asdf,1,10,1,0,1.59,0
9.712048,asdf,1,10,1,0,1.59,0
9.71417,asdf,1,10,1,0,1.59,0
9.716224,asdf,1,10,1,0,1.59,0
9.718285,asdf,1,10,1,0,1.59,0
9.720359,asdf,1,10,1,0,1.59,0
9.72271,asdf,1,10,1,0,1.59,0
9.72478,asdf,1,10,1,0,1.59,0
9.726921,asdf,1,10,1,0,1.59,0
9.728996,asdf,1,10,1,0,1.59,0
9.73108,asdf,1,10,1,0,1.59,0
9.733274,asdf,1,10,1,0,1.59,0
9.735566,asdf,1,10,1,0,1.59,0
9.737739,asdf,1,10,1,0,1.59,0
9.739854,asdf,1,10,1,0,1.59,0
9.741953,asdf,1,10,1,0,1.59,0
9.744327,asdf,1,10,1,0,1.59,0
9.746484,asdf,1,10,1,0,1.59,0
9.748681,asdf,1,10,1,0,1.59,0
9.750751,asdf,1,10,1,0,1.59,0
9.752911,asdf,1,10,1,0,1.59,0
9.754985,asdf,1,10,1,0,1.59,0
9.757031,asdf,1,10,1,0,1.59,0
9.759036,asdf,1,10,1,0,1.59,0
9.761075,asdf,1,10,1,0,1.59,0
9.763417,asdf,1,10,1,0,1.59,0
9.765458,asdf,1,10,1,0,1.59,0
9.767547,asdf,1,10,1,0,1.59,0
9.769628,asdf,1,10,1,0,1.59,0
9.77169,asdf,1,10,1,0,1.59,0
9.773773,asdf,1,10,1,0,1.59,0
9.77579,asdf,1,10,1,0,1.59,0
9.777837,asdf,1,10,1,0,1.59,0
9.779872,asdf,1,10,1,0,1.59,0
9.782048,asdf,1,10,1,0,1.59,0
9.78448,asdf,1,10,1,0,1.59,0
9.786569,asdf,1,10,1,0,1.59,0
9.788726,asdf,1,10,1,0,1.59,0
9.790777,asdf,1,10,1,0,1.59,0
9.792985,asdf,1,10,1,0,1.59,0
9.795101,asdf,1,10,1,0,1.59,0
9.797255,asdf,1,10,1,0,1.59,0
9.799494,asdf,1,10,1,0,1.59,0
9.801632,asdf,1,10,1,0,1.59,0
9.804114,asdf,1,10,1,0,1.59,0
9.80617,asdf,1,10,1,0,1.59,0
9.808281,asdf,1,10,1,0,1.59,0
9.810428,asdf,1,10,1,0,1.59,0
9.812551,asdf,1,10,1,0,1.59,0
9.814618,asdf,1,10,1,0,1.59,0
9.816704,asdf,1,10,1,0,1.59,0
9.818799,asdf,1,10,1,0,1.59,0
9.820846,asdf,1,10,1,0,1.59,0
9.82317,asdf,1,10,1,0,1.59,0
9.825379,asdf,1,10,1,0,1.59,0
9.827449,asdf,1,10,1,0,1.59,0
9.829696,asdf,1,10,1,0,1.59,0
9.831866,asdf,1,10,1,0,1.59,0
9.834035,asdf,1,10,1,0,1.59,0
9.83606,asdf,1,10,1,0,1.59,0
9.838077,asdf,1,10,1,0,1.59,0
9.840077,asdf,1,10,1,0,1.59,0
9.842501,asdf,1,10,1,0,1.59,0
9.844526,asdf,1,10,1,0,1.59,0
9.846546,asdf,1,10,1,0,1.59,0
9.848601,asdf,1,10,1,0,1.59,0
9.850684,asdf,1,10,1,0,1.59,0
9.852754,asdf,1,10,1,0,1.59,0
9.854798,asdf,1,10,1,0,1.59,0
9.856946,asdf,1,10,1,0,1.59,0
9.859141,asdf,1,10,1,0,1.59,0
9.861156,asdf,1,10,1,0,1.59,0
9.863538,asdf,1,10,1,0,1.59,0
9.865742,asdf,1,10,1,0,1.59,0
9.86796,asdf,1,10,1,0,1.59,0
9.870093,asdf,1,10,1,0,1.59,0
9.872203,asdf,1,10,1,0,1.59,0
9.874476,asdf,1,10,1,0,1.59,0
9.876583,asdf,1,10,1,0,1.59,0
9.878675,asdf,1,10,1,0,1.59,0
9.880893,asdf,1,10,1,0,1.59,0
9.883561,asdf,1,10,1,0,1.59,0
9.885696,asdf,1,10,1,0,1.59,0
9.887736,asdf,1,10,1,0,1.59,0
9.890049,asdf,1,10,1,0,1.59,0
9.892056,asdf,1,10,1,0,1.59,0
9.894091,asdf,1,10,1,0,1.59,0
9.896153,asdf,1,10,1,0,1.59,0
9.89854,asdf,1,10,1,0,1.59,0
9.900685,asdf,1,10,1,0,1.59,0
9.903028,asdf,1,10,1,0,1.59,0
9.905291,asdf,1,10,1,0,1.59,0
9.907453,asdf,1,10,1,0,1.59,0
9.909477,asdf,1,10,1,0,1.59,0
9.911509,asdf,1,10,1,0,1.59,0
9.914231,asdf,1,10,1,0,1.59,0
9.916495,asdf,1,10,1,0,1.59,0
9.918596,asdf,1,10,1,0,1.59,0
9.920559,asdf,1,10,1,0,1.59,0
9.923027,asdf,1,10,1,0,1.59,0
9.925085,asdf,1,10,1,0,1.59,0
9.927083,asdf,1,10,1,0,1.59,0
9.929239,asdf,1,10,1,0,1.59,0
9.931386,asdf,1,10,1,0,1.59,0
9.933482,asdf,1,10,1,0,1.59,0
9.935512,asdf,1,10,1,0,1.59,0
9.937786,asdf,1,10,1,0,1.59,0
9.939924,asdf,1,10,1,0,1.59,0
9.941978,asdf,1,10,1,0,1.59,0
9.944386,asdf,1,10,1,0,1.59,0
9.946795,asdf,1,10,1,0,1.59,0
9.949017,asdf,1,10,1,0,1.59,0
9.951167,asdf,1,10,1,0,1.59,0
9.953295,asdf,1,10,1,0,1.59,0
9.955496,asdf,1,10,1,0,1.59,0
9.95758,asdf,1,10,1,0,1.59,0
9.959747,asdf,1,10,1,0,1.59,0
9.961994,asdf,1,10,1,0,1.59,0
9.964715,asdf,1,10,1,0,1.59,0
9.967101,asdf,1,10,1,0,1.59,0
9.969324,asdf,1,10,1,0,1.59,0
9.971445,asdf,1,10,1,0,1.59,0
9.973754,asdf,1,10,1,0,1.59,0
9.975817,asdf,1,10,1,0,1.59,0
9.978128,asdf,1,10,1,0,1.59,0
9.980271,asdf,1,10,1,0,1.59,0
9.98285,asdf,1,10,1,0,1.59,0
9.985291,asdf,1,10,1,0,1.59,0
9.98766,asdf,1,10,1,0,1.59,0
9.989745,asdf,1,10,1,0,1.59,0
9.991796,asdf,1,10,1,0,1.59,0
9.994121,asdf,1,10,1,0,1.59,0
9.996282,asdf,1,10,1,0,1.59,0
9.99835,asdf,1,10,1,0,1.59,0
10.00042,asdf,1,10,1,0,1.59,0
10.00291,asdf,1,10,1,0,1.59,0
10.00503,asdf,1,10,1,0,1.59,0
10.00711,asdf,1,10,1,0,1.59,0
10.00935,asdf,1,10,1,0,1.59,0
10.01154,asdf,1,10,1,0,1.59,0
10.01358,asdf,1,10,1,0,1.59,0
10.01567,asdf,1,10,1,0,1.59,0
10.01811,asdf,1,10,1,0,1.59,0
10.02037,asdf,1,10,1,0,1.59,0
10.02288,asdf,1,10,1,0,1.59,0
10.02531,asdf,1,10,1,0,1.59,0
10.02747,asdf,1,10,1,0,1.59,0
10.02955,asdf,1,10,1,0,1.59,0
10.03206,asdf,1,10,1,0,1.59,0
10.03433,asdf,1,10,1,0,1.59,0
10.03648,asdf,1,10,1,0,1.59,0
10.03851,asdf,1,10,1,0,1.59,0
10.04075,asdf,1,10,1,0,1.59,0
10.04342,asdf,1,10,1,0,1.59,0
10.04549,asdf,1,10,1,0,1.59,0
10.04756,asdf,1,10,1,0,1.59,0
10.05017,asdf,1,10,1,0,1.59,0
10.05234,asdf,1,10,1,0,1.59,0
10.05465,asdf,1,10,1,0,1.59,0
10.05686,asdf,1,10,1,0,1.59,0
10.05905,asdf,1,10,1,0,1.59,0
10.0611,asdf,1,10,1,0,1.59,0
10.06349,asdf,1,10,1,0,1.59,0
10.06592,asdf,1,10,1,0,1.59,0
10.06835,asdf,1,10,1,0,1.59,0
10.0707,asdf,1,10,1,0,1.59,0
10.07337,asdf,1,10,1,0,1.59,0
10.07562,asdf,1,10,1,0,1.59,0
10.08494,asdf,1,10,1,0,1.59,0
10.08806,asdf,1,10,1,0,1.59,0
10.09041,asdf,1,10,1,0,1.59,0
10.09272,asdf,1,10,1,0,1.59,0
10.09492,asdf,1,10,1,0,1.59,0
10.09722,asdf,1,10,1,0,1.59,0
10.09942,asdf,1,10,1,0,1.59,0
10.1015,asdf,1,10,1,0,1.59,0
10.10387,asdf,1,10,1,0,1.59,0
10.10604,asdf,1,10,1,0,1.59,0
10.10805,asdf,1,10,1,0,1.59,0
10.1102,asdf,1,10,1,0,1.59,0
10.11241,asdf,1,10,1,0,1.59,0
10.11457,asdf,1,10,1,0,1.59,0
10.11668,asdf,1,10,1,0,1.59,0
10.11875,asdf,1,10,1,0,1.59,0
10.12083,asdf,1,10,1,0,1.59,0
10.12322,asdf,1,10,1,0,1.59,0
10.12525,asdf,1,10,1,0,1.59,0
10.12732,asdf,1,10,1,0,1.59,0
10.12939,asdf,1,10,1,0,1.59,0
10.1317,asdf,1,10,1,0,1.59,0
10.13386,asdf,1,10,1,0,1.59,0
10.13594,asdf,1,10,1,0,1.59,0
10.138,asdf,1,10,1,0,1.59,0
10.14004,asdf,1,10,1,0,1.59,0
10.14235,asdf,1,10,1,0,1.59,0
10.14433,asdf,1,10,1,0,1.59,0
10.14637,asdf,1,10,1,0,1.59,0
10.1484,asdf,1,10,1,0,1.59,0
10.15046,asdf,1,10,1,0,1.59,0
10.15251,asdf,1,10,1,0,1.59,0
10.15456,asdf,1,10,1,0,1.59,0
10.15657,asdf,1,10,1,0,1.59,0
10.15859,asdf,1,10,1,0,1.59,0
10.16058,asdf,1,10,1,0,1.59,0
10.16313,asdf,1,10,1,0,1.59,0
10.16556,asdf,1,10,1,0,1.59,0
10.16767,asdf,1,10,1,0,1.59,0
10.1697,asdf,1,10,1,0,1.59,0
10.17173,asdf,1,10,1,0,1.59,0
10.17379,asdf,1,10,1,0,1.59,0
10.17581,asdf,1,10,1,0,1.59,0
10.17794,asdf,1,10,1,0,1.59,0
10.18015,asdf,1,10,1,0,1.59,0
10.18262,asdf,1,10,1,0,1.59,0
10.18472,asdf,1,10,1,0,1.59,0
10.18683,asdf,1,10,1,0,1.59,0
10.18888,asdf,1,10,1,0,1.59,0
10.1909,asdf,1,10,1,0,1.59,0
10.19302,asdf,1,10,1,0,1.59,0
