Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
14.32714,testing,1,1,1,0,1.59,0
14.32941,testing,1,1,1,0,1.59,0
14.33151,testing,1,1,1,0,1.59,0
14.3336,testing,1,1,1,0,1.59,0
14.33578,testing,1,1,1,0,1.59,0
14.338,testing,1,1,1,0,1.59,0
14.34014,testing,1,1,1,0,1.59,0
14.34256,testing,1,1,1,0,1.59,0
14.34467,testing,1,1,1,0,1.59,0
14.34678,testing,1,1,1,0,1.59,0
14.3489,testing,1,1,1,0,1.59,0
14.351,testing,1,1,1,0,1.59,0
14.3531,testing,1,1,1,0,1.59,0
14.35524,testing,1,1,1,0,1.59,0
14.35735,testing,1,1,1,0,1.59,0
14.35946,testing,1,1,1,0,1.59,0
14.36158,testing,1,1,1,0,1.59,0
14.36396,testing,1,1,1,0,1.59,0
14.36603,testing,1,1,1,0,1.59,0
14.36817,testing,1,1,1,0,1.59,0
14.37024,testing,1,1,1,0,1.59,0
14.37233,testing,1,1,1,0,1.59,0
14.3744,testing,1,1,1,0,1.59,0
14.37646,testing,1,1,1,0,1.59,0
14.37862,testing,1,1,1,0,1.59,0
14.38083,testing,1,1,1,0,1.59,0
14.38331,testing,1,1,1,0,1.59,0
14.38547,testing,1,1,1,0,1.59,0
14.38761,testing,1,1,1,0,1.59,0
14.38972,testing,1,1,1,0,1.59,0
14.39182,testing,1,1,1,0,1.59,0
14.39393,testing,1,1,1,0,1.59,0
14.39604,testing,1,1,1,0,1.59,0
14.39812,testing,1,1,1,0,1.59,0
14.40025,testing,1,1,1,0,1.59,0
14.40264,testing,1,1,1,0,1.59,0
14.4048,testing,1,1,1,0,1.59,0
14.40692,testing,1,1,1,0,1.59,0
14.40902,testing,1,1,1,0,1.59,0
14.41121,testing,1,1,1,0,1.59,0
14.41335,testing,1,1,1,0,1.59,0
14.41552,testing,1,1,1,0,1.59,0
14.41761,testing,1,1,1,0,1.59,0
14.41968,testing,1,1,1,0,1.59,0
14.42191,testing,1,1,1,0,1.59,0
14.42432,testing,1,1,1,0,1.59,0
14.42647,testing,1,1,1,0,1.59,0
14.42857,testing,1,1,1,0,1.59,0
14.43068,testing,1,1,1,0,1.59,0
14.43277,testing,1,1,1,0,1.59,0
14.43494,testing,1,1,1,0,1.59,0
14.43714,testing,1,1,1,0,1.59,0
14.43926,testing,1,1,1,0,1.59,0
14.44149,testing,1,1,1,0,1.59,0
14.44392,testing,1,1,1,0,1.59,0
14.44606,testing,1,1,1,0,1.59,0
14.44822,testing,1,1,1,0,1.59,0
14.45031,testing,1,1,1,0,1.59,0
14.45242,testing,1,1,1,0,1.59,0
14.45451,testing,1,1,1,0,1.59,0
14.45662,testing,1,1,1,0,1.59,0
14.45876,testing,1,1,1,0,1.59,0
14.46087,testing,1,1,1,0,1.59,0
14.46325,testing,1,1,1,0,1.59,0
14.46535,testing,1,1,1,0,1.59,0
14.46743,testing,1,1,1,0,1.59,0
14.46955,testing,1,1,1,0,1.59,0
14.47167,testing,1,1,1,0,1.59,0
14.47378,testing,1,1,1,0,1.59,0
14.47591,testing,1,1,1,0,1.59,0
14.47814,testing,1,1,1,0,1.59,0
14.48036,testing,1,1,1,0,1.59,0
14.48283,testing,1,1,1,0,1.59,0
14.48497,testing,1,1,1,0,1.59,0
14.48721,testing,1,1,1,0,1.59,0
14.48939,testing,1,1,1,0,1.59,0
14.4916,testing,1,1,1,0,1.59,0
14.49375,testing,1,1,1,0,1.59,0
14.49589,testing,1,1,1,0,1.59,0
14.49809,testing,1,1,1,0,1.59,0
14.50014,testing,1,1,1,0,1.59,0
14.50261,testing,1,1,1,0,1.59,0
14.50472,testing,1,1,1,0,1.59,0
14.50679,testing,1,1,1,0,1.59,0
14.50899,testing,1,1,1,0,1.59,0
14.51113,testing,1,1,1,0,1.59,0
14.51331,testing,1,1,1,0,1.59,0
14.52239,testing,1,1,1,0,1.59,0
14.52544,testing,1,1,1,0,1.59,0
14.52778,testing,1,1,1,0,1.59,0
14.53001,testing,1,1,1,0,1.59,0
14.53226,testing,1,1,1,0,1.59,0
14.53444,testing,1,1,1,0,1.59,0
14.5366,testing,1,1,1,0,1.59,0
14.53871,testing,1,1,1,0,1.59,0
14.5408,testing,1,1,1,0,1.59,0
14.54318,testing,1,1,1,0,1.59,0
14.54533,testing,1,1,1,0,1.59,0
14.54751,testing,1,1,1,0,1.59,0
14.54959,testing,1,1,1,0,1.59,0
14.55166,testing,1,1,1,0,1.59,0
14.55375,testing,1,1,1,0,1.59,0
14.55581,testing,1,1,1,0,1.59,0
14.55793,testing,1,1,1,0,1.59,0
14.56001,testing,1,1,1,0,1.59,0
14.56244,testing,1,1,1,0,1.59,0
14.56458,testing,1,1,1,0,1.59,0
14.56666,testing,1,1,1,0,1.59,0
14.56876,testing,1,1,1,0,1.59,0
14.57085,testing,1,1,1,0,1.59,0
14.57296,testing,1,1,1,0,1.59,0
14.57505,testing,1,1,1,0,1.59,0
14.57729,testing,1,1,1,0,1.59,0
14.57948,testing,1,1,1,0,1.59,0
14.58161,testing,1,1,1,0,1.59,0
14.58394,testing,1,1,1,0,1.59,0
14.58608,testing,1,1,1,0,1.59,0
14.58813,testing,1,1,1,0,1.59,0
14.59029,testing,1,1,1,0,1.59,0
14.59241,testing,1,1,1,0,1.59,0
14.59452,testing,1,1,1,0,1.59,0
14.59666,testing,1,1,1,0,1.59,0
14.59878,testing,1,1,1,0,1.59,0
14.60095,testing,1,1,1,0,1.59,0
14.60338,testing,1,1,1,0,1.59,0
14.60553,testing,1,1,1,0,1.59,0
14.60767,testing,1,1,1,0,1.59,0
14.60977,testing,1,1,1,0,1.59,0
14.61191,testing,1,1,1,0,1.59,0
14.61399,testing,1,1,1,0,1.59,0
14.61608,testing,1,1,1,0,1.59,0
14.61815,testing,1,1,1,0,1.59,0
14.62021,testing,1,1,1,0,1.59,0
14.6226,testing,1,1,1,0,1.59,0
14.62469,testing,1,1,1,0,1.59,0
14.62675,testing,1,1,1,0,1.59,0
14.62885,testing,1,1,1,0,1.59,0
14.63093,testing,1,1,1,0,1.59,0
14.63314,testing,1,1,1,0,1.59,0
14.63541,testing,1,1,1,0,1.59,0
14.63756,testing,1,1,1,0,1.59,0
14.63969,testing,1,1,1,0,1.59,0
14.64179,testing,1,1,1,0,1.59,0
14.64419,testing,1,1,1,0,1.59,0
14.64628,testing,1,1,1,0,1.59,0
14.64837,testing,1,1,1,0,1.59,0
14.65045,testing,1,1,1,0,1.59,0
14.65253,testing,1,1,1,0,1.59,0
14.65462,testing,1,1,1,0,1.59,0
14.6567,testing,1,1,1,0,1.59,0
14.65895,testing,1,1,1,0,1.59,0
14.66109,testing,1,1,1,0,1.59,0
14.6635,testing,1,1,1,0,1.59,0
14.66562,testing,1,1,1,0,1.59,0
14.6677,testing,1,1,1,0,1.59,0
14.66977,testing,1,1,1,0,1.59,0
14.67185,testing,1,1,1,0,1.59,0
14.6739,testing,1,1,1,0,1.59,0
14.67601,testing,1,1,1,0,1.59,0
14.67809,testing,1,1,1,0,1.59,0
14.68019,testing,1,1,1,0,1.59,0
14.68256,testing,1,1,1,0,1.59,0
14.68467,testing,1,1,1,0,1.59,0
14.68676,testing,1,1,1,0,1.59,0
14.68884,testing,1,1,1,0,1.59,0
14.69092,testing,1,1,1,0,1.59,0
14.69302,testing,1,1,1,0,1.59,0
14.69545,testing,1,1,1,0,1.59,0
14.6976,testing,1,1,1,0,1.59,0
14.69973,testing,1,1,1,0,1.59,0
14.70182,testing,1,1,1,0,1.59,0
14.70423,testing,1,1,1,0,1.59,0
14.70635,testing,1,1,1,0,1.59,0
14.70848,testing,1,1,1,0,1.59,0
14.7107,testing,1,1,1,0,1.59,0
14.71287,testing,1,1,1,0,1.59,0
14.71497,testing,1,1,1,0,1.59,0
14.71706,testing,1,1,1,0,1.59,0
14.71918,testing,1,1,1,0,1.59,0
14.72125,testing,1,1,1,0,1.59,0
14.72362,testing,1,1,1,0,1.59,0
14.72573,testing,1,1,1,0,1.59,0
14.72785,testing,1,1,1,0,1.59,0
14.73003,testing,1,1,1,0,1.59,0
14.73216,testing,1,1,1,0,1.59,0
14.73427,testing,1,1,1,0,1.59,0
14.73637,testing,1,1,1,0,1.59,0
14.73853,testing,1,1,1,0,1.59,0
14.74074,testing,1,1,1,0,1.59,0
14.74318,testing,1,1,1,0,1.59,0
14.74533,testing,1,1,1,0,1.59,0
14.74747,testing,1,1,1,0,1.59,0
14.74966,testing,1,1,1,0,1.59,0
14.75179,testing,1,1,1,0,1.59,0
14.75394,testing,1,1,1,0,1.59,0
14.75612,testing,1,1,1,0,1.59,0
14.75828,testing,1,1,1,0,1.59,0
14.76052,testing,1,1,1,0,1.59,0
14.76302,testing,1,1,1,0,1.59,0
14.76511,testing,1,1,1,0,1.59,0
14.7672,testing,1,1,1,0,1.59,0
14.76928,testing,1,1,1,0,1.59,0
14.7714,testing,1,1,1,0,1.59,0
14.7735,testing,1,1,1,0,1.59,0
14.77558,testing,1,1,1,0,1.59,0
14.77767,testing,1,1,1,0,1.59,0
14.77979,testing,1,1,1,0,1.59,0
14.78184,testing,1,1,1,0,1.59,0
14.78422,testing,1,1,1,0,1.59,0
14.78633,testing,1,1,1,0,1.59,0
14.78841,testing,1,1,1,0,1.59,0
14.79055,testing,1,1,1,0,1.59,0
14.79269,testing,1,1,1,0,1.59,0
14.79483,testing,1,1,1,0,1.59,0
14.79695,testing,1,1,1,0,1.59,0
14.79908,testing,1,1,1,0,1.59,0
14.80123,testing,1,1,1,0,1.59,0
14.80361,testing,1,1,1,0,1.59,0
14.80583,testing,1,1,1,0,1.59,0
14.80796,testing,1,1,1,0,1.59,0
14.81001,testing,1,1,1,0,1.59,0
14.81219,testing,1,1,1,0,1.59,0
14.81431,testing,1,1,1,0,1.59,0
14.81653,testing,1,1,1,0,1.59,0
14.81863,testing,1,1,1,0,1.59,0
